Date,Price,Open,High,Low,Change %,DPB
06-10-2012,1.4340,1.4340,1.4340,1.4340,8.97%,11.30056
06-03-2012,1.3160,1.3160,1.3160,1.3160,11.71%,-16.43136
05/27/2012,1.1780,1.1780,1.1780,1.1780,-14.39%,-16.43136
05/20/2012,1.3760,1.3760,1.3760,1.3760,-3.44%,-10.74476
05/13/2012,1.4250,1.4250,1.4250,1.4250,-6.62%,-2.2115
05-06-2012,1.5260,1.5260,1.5260,1.5260,-3.84%,-11.9698
04/29/2012,1.5870,1.5870,1.5870,1.5870,-6.43%,-11.9698
04/22/2012,1.6960,1.6960,1.6960,1.6960,-1.57%,-4.22574000000001
04/15/2012,1.7230,1.7230,1.7230,1.7230,-0.35%,7.4715
04-08-2012,1.7290,1.7290,1.7290,1.7290,-0.63%,4.58426999999999
04-01-2012,1.7400,1.7400,1.7400,1.7400,-3.60%,-5.96747
03/25/2012,1.8050,1.8050,1.8050,1.8050,-3.63%,-5.96747
03/18/2012,1.8730,1.8730,1.8730,1.8730,-8.59%,-4.51145999999999
03-11-2012,2.0490,2.0490,2.0490,2.0490,13.77%,-1.54677000000001
03-04-2012,1.8010,1.8010,1.8010,1.8010,-0.22%,-10.50681
02/26/2012,1.8050,1.8050,1.8050,1.8050,-4.04%,-10.50681
02/19/2012,1.8810,1.8810,1.8810,1.8810,-2.49%,-6.35071000000001
02-12-2012,1.9290,1.9290,1.9290,1.9290,-0.92%,6.10962999999999
02-05-2012,1.9470,1.9470,1.9470,1.9470,0.31%,-5.80344
01/29/2012,1.9410,1.9410,1.9410,1.9410,4.41%,-5.80344
01/22/2012,1.8590,1.8590,1.8590,1.8590,-3.98%,-7.38551999999999
01/15/2012,1.9360,1.9360,1.9360,1.9360,9.75%,4.55145
01-08-2012,1.7640,1.7640,1.7640,1.7640,-4.65%,19.50521
01-01-2012,1.8500,1.8500,1.8500,1.8500,1.87%,-3.90864
12/25/2011,1.8160,1.8160,1.8160,1.8160,-6.78%,-3.90864
12/18/2011,1.9480,1.9480,1.9480,1.9480,3.84%,2.85061
12-11-2011,1.8760,1.8760,1.8760,1.8760,-11.13%,-3.90595999999999
12-04-2011,2.1110,2.1110,2.1110,2.1110,-2.72%,-26.06367
11/27/2011,2.1700,2.1700,2.1700,2.1700,-4.07%,-26.06367
11/20/2011,2.2620,2.2620,2.2620,2.2620,14.88%,17.38885
11/13/2011,1.9690,1.9690,1.9690,1.9690,6.26%,9.88810999999999
11-06-2011,1.8530,1.8530,1.8530,1.8530,1.76%,-15.25757
10/30/2011,1.8210,1.8210,1.8210,1.8210,-17.08%,-15.25757
10/23/2011,2.1960,2.1960,2.1960,2.1960,3.78%,4.4741
10/16/2011,2.1160,2.1160,2.1160,2.1160,-3.73%,-1.29015
10-09-2011,2.1980,2.1980,2.1980,2.1980,9.63%,5.46229000000001
10-02-2011,2.0050,2.0050,2.0050,2.0050,6.31%,7.85236
09/25/2011,1.8860,1.8860,1.8860,1.8860,8.08%,7.85236
09/18/2011,1.7450,1.7450,1.7450,1.7450,-6.03%,-10.1573
09-11-2011,1.8570,1.8570,1.8570,1.8570,4.50%,-15.75039
09-04-2011,1.7770,1.7770,1.7770,1.7770,-11.68%,1.93987
08/28/2011,2.0120,2.0120,2.0120,2.0120,-6.51%,1.93987
08/21/2011,2.1520,2.1520,2.1520,2.1520,2.53%,9.46128999999999
08/14/2011,2.0990,2.0990,2.0990,2.0990,-10.07%,-15.96632
08-07-2011,2.3340,2.3340,2.3340,2.3340,-1.10%,-10.30554
07/31/2011,2.3600,2.3600,2.3600,2.3600,-7.23%,-10.30554
07/24/2011,2.5440,2.5440,2.5440,2.5440,-9.69%,-11.87005
07/17/2011,2.8170,2.8170,2.8170,2.8170,4.18%,2.24467999999999
07-10-2011,2.7040,2.7040,2.7040,2.7040,-4.62%,-3.97545000000001
07-03-2011,2.8350,2.8350,2.8350,2.8350,-7.17%,11.61501
06/26/2011,3.0540,3.0540,3.0540,3.0540,7.76%,11.61501
06/19/2011,2.8340,2.8340,2.8340,2.8340,-4.09%,-2.38966999999999
06-12-2011,2.9550,2.9550,2.9550,2.9550,-0.37%,-0.89839
06-05-2011,2.9660,2.9660,2.9660,2.9660,-3.04%,-1.59668
05/29/2011,3.0590,3.0590,3.0590,3.0590,2.69%,-1.59668
05/22/2011,2.9790,2.9790,2.9790,2.9790,-2.90%,-9.44046999999999
05/15/2011,3.0680,3.0680,3.0680,3.0680,-0.52%,1.64639
05-08-2011,3.0840,3.0840,3.0840,3.0840,-3.02%,-7.41716
05-01-2011,3.1800,3.1800,3.1800,3.1800,-1.73%,-4.58267999999999
04/24/2011,3.2360,3.2360,3.2360,3.2360,-1.04%,-4.58267999999999
04/17/2011,3.2700,3.2700,3.2700,3.2700,-3.34%,-6.88618
04-10-2011,3.3830,3.3830,3.3830,3.3830,-2.95%,5.61581
04-03-2011,3.4860,3.4860,3.4860,3.4860,2.98%,11.48699
03/27/2011,3.3850,3.3850,3.3850,3.3850,3.49%,11.48699
